"Plot Title: 10720196"
"#","Date Time, GMT+02:00","Low Range, μS/cm (LGR S/N: 10720196, SEN S/N: 10720196)","Temp, °C (LGR S/N: 10720196, SEN S/N: 10720196)"
459,07/22/16 07:11:57 em,33.9,16.84
460,07/22/16 07:11:58 em,34.0,16.84
461,07/22/16 07:11:59 em,34.0,16.84
462,07/22/16 07:12:00 em,34.0,16.80
463,07/22/16 07:12:01 em,34.0,16.78
464,07/22/16 07:12:02 em,34.0,16.75
465,07/22/16 07:12:03 em,34.1,16.75
466,07/22/16 07:12:04 em,34.1,16.75
467,07/22/16 07:12:05 em,34.0,16.75
468,07/22/16 07:12:06 em,34.0,16.74
469,07/22/16 07:12:07 em,34.0,16.71
470,07/22/16 07:12:08 em,34.0,16.67
471,07/22/16 07:12:09 em,33.9,16.61
472,07/22/16 07:12:10 em,33.8,16.56
473,07/22/16 07:12:11 em,33.7,16.44
474,07/22/16 07:12:12 em,33.6,16.35
475,07/22/16 07:12:13 em,33.6,16.27
476,07/22/16 07:12:14 em,33.5,16.13
477,07/22/16 07:12:15 em,33.6,16.13
478,07/22/16 07:12:16 em,33.4,16.03
479,07/22/16 07:12:17 em,33.4,15.94
480,07/22/16 07:12:18 em,33.2,15.78
481,07/22/16 07:12:19 em,33.0,15.57
482,07/22/16 07:12:20 em,33.0,15.57
483,07/22/16 07:12:21 em,33.2,15.60
484,07/22/16 07:12:22 em,33.2,15.62
485,07/22/16 07:12:23 em,33.2,15.65
486,07/22/16 07:12:24 em,33.2,15.69
487,07/22/16 07:12:25 em,33.3,15.73
488,07/22/16 07:12:26 em,33.3,15.77
489,07/22/16 07:12:27 em,33.4,15.81
490,07/22/16 07:12:28 em,33.5,15.84
491,07/22/16 07:12:29 em,33.5,15.88
492,07/22/16 07:12:30 em,33.5,15.91
493,07/22/16 07:12:31 em,33.5,15.91
494,07/22/16 07:12:32 em,33.5,15.91
495,07/22/16 07:12:33 em,33.5,15.91
496,07/22/16 07:12:34 em,33.5,15.91
497,07/22/16 07:12:35 em,33.5,15.88
498,07/22/16 07:12:36 em,33.4,15.86
499,07/22/16 07:12:37 em,33.4,15.82
500,07/22/16 07:12:38 em,33.4,15.79
501,07/22/16 07:12:39 em,33.4,15.75
502,07/22/16 07:12:40 em,33.3,15.73
503,07/22/16 07:12:41 em,33.3,15.68
504,07/22/16 07:12:42 em,33.2,15.64
505,07/22/16 07:12:43 em,33.2,15.60
506,07/22/16 07:12:44 em,33.1,15.56
507,07/22/16 07:12:45 em,33.2,15.52
508,07/22/16 07:12:46 em,33.1,15.47
509,07/22/16 07:12:47 em,33.0,15.42
510,07/22/16 07:12:48 em,33.0,15.34
511,07/22/16 07:12:49 em,32.9,15.26
512,07/22/16 07:12:50 em,32.8,15.16
513,07/22/16 07:12:51 em,32.8,15.07
514,07/22/16 07:12:52 em,32.7,15.02
515,07/22/16 07:12:53 em,32.7,14.99
516,07/22/16 07:12:54 em,32.7,14.98
517,07/22/16 07:12:55 em,32.6,14.98
518,07/22/16 07:12:56 em,32.6,14.98
519,07/22/16 07:12:57 em,32.6,14.98
520,07/22/16 07:12:58 em,32.6,14.98
521,07/22/16 07:12:59 em,32.6,14.98
522,07/22/16 07:13:00 em,32.6,14.97
523,07/22/16 07:13:01 em,32.7,14.97
524,07/22/16 07:13:02 em,32.7,14.97
525,07/22/16 07:13:03 em,32.6,14.97
526,07/22/16 07:13:04 em,32.6,14.97
527,07/22/16 07:13:05 em,32.6,14.95
528,07/22/16 07:13:06 em,32.6,14.94
529,07/22/16 07:13:07 em,32.6,14.93
530,07/22/16 07:13:08 em,32.6,14.91
531,07/22/16 07:13:09 em,32.5,14.89
532,07/22/16 07:13:10 em,32.4,14.86
533,07/22/16 07:13:11 em,32.2,14.81
534,07/22/16 07:13:12 em,32.2,14.72
535,07/22/16 07:13:13 em,32.1,14.62
536,07/22/16 07:13:14 em,32.0,14.53
537,07/22/16 07:13:15 em,32.0,14.47
538,07/22/16 07:13:16 em,32.0,14.44
539,07/22/16 07:13:17 em,32.0,14.41
540,07/22/16 07:13:18 em,32.0,14.41
541,07/22/16 07:13:19 em,32.0,14.41
542,07/22/16 07:13:20 em,32.0,14.42
543,07/22/16 07:13:21 em,32.0,14.41
544,07/22/16 07:13:22 em,32.0,14.42
545,07/22/16 07:13:23 em,32.0,14.44
546,07/22/16 07:13:24 em,32.0,14.44
547,07/22/16 07:13:25 em,32.0,14.45
548,07/22/16 07:13:26 em,32.0,14.45
549,07/22/16 07:13:27 em,32.0,14.45
550,07/22/16 07:13:28 em,32.0,14.45
551,07/22/16 07:13:29 em,31.9,14.45
552,07/22/16 07:13:30 em,31.9,14.45
553,07/22/16 07:13:31 em,31.9,14.44
554,07/22/16 07:13:32 em,31.8,14.42
555,07/22/16 07:13:33 em,31.8,14.41
556,07/22/16 07:13:34 em,31.8,14.40
557,07/22/16 07:13:35 em,31.8,14.37
558,07/22/16 07:13:36 em,31.8,14.37
559,07/22/16 07:13:37 em,31.8,14.36
560,07/22/16 07:13:38 em,31.8,14.35
561,07/22/16 07:13:39 em,31.8,14.35
562,07/22/16 07:13:40 em,31.8,14.35
563,07/22/16 07:13:41 em,31.8,14.35
564,07/22/16 07:13:42 em,31.7,14.35
565,07/22/16 07:13:43 em,31.8,14.35
566,07/22/16 07:13:44 em,31.6,14.33
